"key","nb","en","tr"
"texts.bookingDemoSuccess","Testsamtalen er registrert. Dette er ikke en ekte avtale.","Your test call is registered. This is not a real appointment.","Test görüşmeniz kaydedildi. Bu gerçek bir randevu değildir."
"texts.bookingIntro","Velg hva du ønsker hjelp med, og en ledig samtaletid. Tidene vises i norsk tid (Europe/Oslo). En samtale er ikke en bekreftelse på hjemmebesøk.","Choose the support you would like and an available call time. Times are shown in Norwegian time (Europe/Oslo). A call does not confirm a home visit.","İstediğiniz desteği ve uygun görüşme saatini seçin. Saatler Norveç saatine (Europe/Oslo) göre gösterilir. Görüşme, ev ziyareti onayı anlamına gelmez."
"texts.bookingSuccess","Samtaletiden er registrert.","Your call time is registered.","Görüşme saatiniz kaydedildi."
"texts.bookingTitle","La oss begynne<br>med en samtale.","Let us begin<br>with a conversation.","Bir görüşmeyle<br>başlayalım."
"texts.cancel","Avbestill","Cancel booking","İptal et"
"texts.cancelConfirm","Vil du avbestille denne samtalen?","Do you want to cancel this call?","Bu görüşmeyi iptal etmek istiyor musunuz?"
"texts.cancelled","Avbestilt","Cancelled","İptal edildi"
"texts.choose","Velg","Choose","Seç"
"texts.closeText","Vi begynner med en samtale om det du ønsker.","We begin with a conversation about what you would like.","Ne istediğinizi konuşarak başlarız."
"texts.closeTitle","En hverdag med<br><em>plass til deg.</em>","Everyday life.<br><em>With room for you.</em>","Size yer açan<br><em>bir gündelik hayat.</em>"
"texts.configTitle","Tilkoblinger","Connections","Bağlantılar"
"texts.confirm","Bekreft samtaletiden","Confirm call time","Görüşme saatini onayla"
"texts.confirmed","Registrert","Registered","Kaydedildi"
"texts.conflict","Tiden er ikke lenger ledig. Velg en annen tid.","That time is no longer available. Please choose another.","Bu saat artık uygun değil. Lütfen başka bir saat seçin."
"texts.consentSaved","Analysevalget er lagret.","Your analytics choice is saved.","Analiz tercihiniz kaydedildi."
"texts.consentText","Med ditt valg kan vi telle hvilke innholdsområder som vises og brukes. Vi sender ikke navn, kontaktdetaljer eller skjematekst til analysen. Valget påvirker ikke hjelpen du får.","With your choice, we can count which content areas are viewed and used. We do not send names, contact details or form text to analytics. Your choice does not affect your support.","İzin verirseniz hangi içerik alanlarının görüntülendiğini ve kullanıldığını sayabiliriz. Ad, iletişim bilgisi ve form metni analize gönderilmez. Tercihiniz alacağınız desteği etkilemez."
"texts.consentTitle","Vil du hjelpe oss å forbedre siden?","Would you help us improve this site?","Sayfayı geliştirmemize yardım eder misiniz?"
"texts.contact","Ta kontakt","Contact us","İletişim"
"texts.contactIntro","Send et spørsmål om tjenesten, eller meld interesse for å bli hjelper. Unngå helseopplysninger og opplysninger om andre.","Ask about the service or express interest in becoming a helper. Avoid health information and information about other people.","Hizmet hakkında bir soru sorun veya yardımcı olmakla ilgilendiğinizi belirtin. Sağlık bilgisi ve başkalarının bilgilerini paylaşmayın."
"texts.contactTitle","Hva vil du<br>snakke med oss om?","What would you<br>like to talk about?","Ne hakkında<br>konuşmak istersiniz?"
"texts.createSlot","Legg ut samtaletid","Add a call time","Görüşme saati ekle"
"texts.date","Dato","Date","Tarih"
"texts.decline","Avslå analyse","Decline analytics","Analizi reddet"
"texts.demo","Forhåndsvisning · Ingen hjemmebesøk eller betaling er åpnet.","Preview · Home visits and payments are not open.","Önizleme · Ev ziyaretleri ve ödeme henüz açılmadı."
"texts.demoLabel","Test","Test","Test"
"texts.details","Detaljer","Details","Ayrıntılar"
"texts.duration","Varighet i minutter","Duration in minutes","Süre (dakika)"
"texts.email","E-post","Email","E-posta"
"texts.engaged","Engasjerte visninger","Engaged views","İlgili görüntüleme"
"texts.error","Noe gikk galt. Opplysningene dine står fortsatt i skjemaet. Prøv igjen.","Something went wrong. Your details are still in the form. Please try again.","Bir sorun oluştu. Bilgileriniz formda duruyor. Lütfen tekrar deneyin."
"texts.eyebrow","HJELP I NABOLAGET. ROM FOR LIVET.","SUPPORT NEARBY. ROOM FOR LIFE.","YAKININIZDA DESTEK. HAYATA YER AÇIN."
"texts.familyConsent","Den som får hjelp bestemmer hva som deles. Å betale for et besøk gir ikke automatisk tilgang til private opplysninger.","The person receiving help decides what is shared. Paying for a visit does not automatically grant access to private information.","Hangi bilgilerin paylaşılacağına yardımı alan kişi karar verir. Ziyaretin ücretini ödemek, özel bilgilere otomatik erişim sağlamaz."
"texts.familyEyebrow","FOR DEG SOM ER PÅRØRENDE","FOR FAMILY MEMBERS","YAKINLAR İÇİN"
"texts.familyLink","Slik ivaretar vi valgene dine","How we respect your choices","Tercihlerinizi nasıl koruyoruz?"
"texts.familyText","Det er godt å kunne stille opp. Men du kan ikke alltid være der. Vi vil gjøre det enklere å finne praktisk støtte rundt den du er glad i.","You want to be there. But you cannot always be nearby. We want to make it easier to find practical support around someone you care about.","Yanında olmak istersiniz. Ama her zaman orada olamayabilirsiniz. Sevdiğiniz kişinin çevresinde gündelik destek bulmayı kolaylaştırmak istiyoruz."
"texts.familyTitle","Være nær.<br>Også på avstand.","Be close.<br>Even from a distance.","Uzakta olsanız da<br>yakın kalın."
"texts.faqTitle","Det du kanskje lurer på","Questions you may have","Aklınızdaki sorular"
"texts.faqs.0.0","Kan jeg bestille hjelp nå?","Can I book support now?","Şimdi yardım ayarlayabilir miyim?"
"texts.faqs.0.1","Hjemmebesøk er ikke åpnet. Du kan utforske tjenestene og prøve samtalebestillingen med testopplysninger.","Home visits are not open. You can explore the service and try call booking using test details.","Ev ziyaretleri henüz açılmadı. Hizmetleri inceleyebilir ve görüşme akışını test bilgileriyle deneyebilirsiniz."
"texts.faqs.1.0","Hvor tilbyr dere hjelp?","Where do you offer support?","Hangi bölgelerde hizmet veriyorsunuz?"
"texts.faqs.1.1","Det første tjenesteområdet er ikke bekreftet. Vi vil opplyse om steder og kapasitet før hjemmebesøk åpnes.","The first service area is not confirmed. Locations and capacity will be explained before home visits open.","İlk hizmet bölgesi henüz doğrulanmadı. Ev ziyaretleri açılmadan önce yerler ve kapasite açıklanacak."
"texts.faqs.2.0","Får jeg den samme hjelperen?","Will I see the same helper?","Hep aynı yardımcı mı gelecek?"
"texts.faqs.2.1","Kontinuitet er et mål. Faste hjelpere, vikarer og kapasitet må avklares før oppstart.","Continuity is a goal. Regular helpers, replacements and capacity need to be arranged before launch.","Süreklilik hedefimiz. Sabit yardımcılar, yedekler ve kapasite açılıştan önce netleşmeli."
"texts.faqs.3.0","Kan familien bestille for meg?","Can my family book for me?","Ailem benim için rezervasyon yapabilir mi?"
"texts.faqs.3.1","En pårørende kan be om en samtale. Hjelpen og eventuell deling av opplysninger må avklares med den som skal få hjelp.","A family member can request a call. Support and any information sharing must be agreed with the person receiving help.","Bir yakınınız görüşme isteyebilir. Yardım ve bilgi paylaşımı, yardımı alacak kişiyle netleştirilmeli."
"texts.faqs.4.0","Hva skjer hvis en hjelper ikke kommer?","What if a helper does not arrive?","Yardımcı gelmezse ne olur?"
"texts.faqs.4.1","Besøket skal følges opp av en ansvarlig koordinator. Kontaktvei og alternativ hjelp må være avtalt før tjenesten åpner.","A responsible coordinator should follow up. Contact details and alternative support must be agreed before the service opens.","Sorumlu bir koordinatör ziyareti takip etmeli. İletişim yolu ve alternatif destek hizmet açılmadan belirlenmeli."
"texts.faqs.5.0","Er dette hjemmesykepleie?","Is this home nursing?","Bu bir evde hemşirelik hizmeti mi?"
"texts.faqs.5.1","Nei. NAVIAR CARE er et konsept for praktisk og sosial støtte, og erstatter ikke helsehjelp.","No. NAVIAR CARE is a concept for practical and social support. It does not replace healthcare.","Hayır. NAVIAR CARE gündelik ve sosyal destek konseptidir. Sağlık hizmetinin yerini almaz."
"texts.footer","Praktisk hjelp. Menneskelig nærhet. På dine premisser.","Practical help. Human connection. On your terms.","Gündelik yardım. İnsani yakınlık. Sizin tercihlerinizle."
"texts.forecastEmpty","Det finnes ikke nok faktisk etterspørsel til en nyttig prognose. Testbestillinger tas ikke med. Bruk erfaringer fra samtaler mens data bygges opp.","There is not enough real demand for a useful forecast. Test bookings are excluded. Use insights from conversations while evidence builds.","Yararlı bir tahmin için henüz yeterli gerçek talep yok. Test rezervasyonları dahil edilmez. Veri oluşana kadar görüşmelerden öğrendiklerinizi kullanın."
"texts.forecastNote","En enkel ukentlig grunnprognose fra tidligere forespørsler. Intervallet viser historisk variasjon, ikke en garanti. Ingen individuelle behov beregnes.","A simple weekly baseline from past requests. The range shows historical variation, not a guarantee. Individual needs are not predicted.","Geçmiş taleplerden basit bir haftalık temel tahmin. Aralık geçmiş değişkenliği gösterir; garanti değildir. Kişisel ihtiyaç tahmini yapılmaz."
"texts.forecastTitle","Hva kan bli etterspurt?","What may be requested next?","Sonra ne talep edilebilir?"
"texts.guide.change","Endre svarene","Change my answers","Yanıtlarımı değiştir"
"texts.guide.choices.0","Få gjort praktiske oppgaver","Get practical tasks done","Günlük işleri halletmek"
"texts.guide.choices.1","Ha noen med meg ut","Have someone accompany me","Dışarı çıkarken birinin eşlik etmesi"
"texts.guide.choices.2","Ha selskap og gjøre noe hyggelig","Have company and do something enjoyable","Birlikte vakit geçirmek"
"texts.guide.choices.3","Jeg vil snakke med noen først","Talk to someone first","Önce biriyle konuşmak"
"texts.guide.frequencies.0","En enkelt gang","Once","Bir defa"
"texts.guide.frequencies.1","Jevnlig","Regularly","Düzenli olarak"
"texts.guide.frequencies.2","Jeg vet ikke ennå","I am not sure yet","Henüz bilmiyorum"
"texts.guide.frequency","Hvor ofte ønsker du hjelp?","How often would you like help?","Ne sıklıkla yardım istiyorsunuz?"
"texts.guide.frequencyNotes.0","Ta opp ønsket dato i samtalen.","Discuss your preferred date during the call.","İstediğiniz tarihi görüşmede belirtin."
"texts.guide.frequencyNotes.1","Ta opp ønsket rytme i samtalen. Faste avtaler må bekreftes særskilt.","Discuss your preferred schedule during the call. Regular arrangements need separate confirmation.","İstediğiniz sıklığı görüşmede belirtin. Düzenli hizmet ayrıca kararlaştırılmalıdır."
"texts.guide.frequencyNotes.2","Du kan bestemme hvor ofte senere.","You can decide how often later.","Ne sıklıkla yardım istediğinize daha sonra karar verebilirsiniz."
"texts.guide.intro","Velg det du vil ha hjelp til. Du får et forslag til hvor du kan starte.","Choose what you would like help with. We will suggest a starting point.","Hangi konuda yardım istediğinizi seçin. Nereden başlayabileceğinizi gösterelim."
"texts.guide.limit","Forslaget bygger bare på valgene dine. Det bekrefter ikke kapasitet, pris eller en avtale.","This suggestion uses only your choices. It does not confirm availability, price or an appointment.","Bu öneri yalnızca seçimlerinize dayanır. Müsaitlik, ücret veya randevu onayı değildir."
"texts.guide.nav","Finn riktig hjelp","Find suitable help","Uygun yardımı bul"
"texts.guide.preparation.0","Tenk på én ting du vil gjøre lettere.","Think of one thing you would like to make easier.","Kolaylaştırmak istediğiniz bir işi düşünün."
"texts.guide.preparation.1","Tenk på hvilke dager som kan passe.","Think about days that could work for you.","Size uygun olabilecek günleri düşünün."
"texts.guide.preparation.2","Vi må avtale oppgaver, tidspunkt og pris før et besøk.","Tasks, time and price must be agreed before a visit.","Ziyaretten önce yapılacak işler, saat ve ücret kararlaştırılmalıdır."
"texts.guide.prepare","Før en samtale","Before a call","Görüşmeden önce"
"texts.guide.privacy","Svarene blir på denne siden. De lagres ikke og sendes ikke til oss.","Your answers stay on this page. They are not saved or sent to us.","Yanıtlarınız bu sayfada kalır. Kaydedilmez ve bize gönderilmez."
"texts.guide.question","Hva vil du gjøre lettere i hverdagen?","What would you like to make easier?","Günlük yaşamda neyi kolaylaştırmak istiyorsunuz?"
"texts.guide.reasons.0","Du valgte praktiske oppgaver. Start med å beskrive én oppgave du vil ha hjelp til.","You chose practical tasks. Start by describing one task you would like help with.","Günlük işleri seçtiniz. Yardım istediğiniz bir işi anlatarak başlayabilirsiniz."
"texts.guide.reasons.1","Du valgte følge. Start med å fortelle hvor du vil dra og når.","You chose accompaniment. Start by saying where you would like to go and when.","Eşlik desteğini seçtiniz. Nereye ve ne zaman gitmek istediğinizi anlatarak başlayabilirsiniz."
"texts.guide.reasons.2","Du valgte selskap. Start med å fortelle hva du liker å gjøre.","You chose company. Start by saying what you enjoy doing.","Birlikte vakit geçirmeyi seçtiniz. Neler yapmaktan hoşlandığınızı anlatarak başlayabilirsiniz."
"texts.guide.reasons.3","Du trenger ikke velge en tjeneste nå. En samtale kan hjelpe deg å avklare ønskene dine.","You do not need to choose a service now. A conversation can help clarify what you want.","Şimdi bir hizmet seçmeniz gerekmiyor. Bir görüşme, ne istediğinizi netleştirmenize yardımcı olabilir."
"texts.guide.result","Et sted å starte","A place to start","Buradan başlayabilirsiniz"
"texts.guide.show","Se forslaget","See the suggestion","Öneriyi gör"
"texts.guide.title","Hvilken hjelp passer for deg?","What kind of help would suit you?","Size hangi yardım uygun?"
"texts.help","Trenger du hjelp?","Need help?","Yardım mı gerekiyor?"
"texts.hero","Litt hjelp.<br>Mer av <em>din hverdag.</em>","A little help.<br>More of <em>your everyday.</em>","Biraz yardım.<br>Size kalan <em>daha çok hayat.</em>"
"texts.imageAlt","En eldre kvinne og en hjelper snakker sammen ved et kjøkkenbord.","An older woman and a helper talking together at a kitchen table.","Yaşlı bir kadın ve bir yardımcı mutfak masasında sohbet ediyor."
"texts.imageNote","Illustrasjonsbilde laget med KI.","AI-generated illustrative image.","Yapay zekâyla oluşturulmuş temsili görsel."
"texts.imageQuote","Din hverdag.<br>Dine valg.","Your everyday.<br>Your choices.","Sizin hayatınız.<br>Sizin seçimleriniz."
"texts.improvements.clickCount","Klikk","Clicks","Tıklama"
"texts.improvements.consentNext","Hvis du tillater analyse, teller vi også klikk fra innhold til samtale, veiviser og kontakt. Vi følger deg ikke videre til private sider.","If you allow analytics, we also count clicks from content to booking, the guide and contact. We do not follow you into private pages.","Analize izin verirseniz içerikten görüşme, rehber ve iletişime tıklamaları da sayarız. Özel sayfalarda gezinmenizi takip etmeyiz."
"texts.improvements.destination","Neste steg","Next step","Sonraki adım"
"texts.improvements.enquiries","Mine henvendelser","My enquiries","Başvurularım"
"texts.improvements.enquiriesIntro","Se det du har sendt, og om henvendelsen er under arbeid. En registrert melding bekrefter ikke en samtale eller et besøk.","See what you sent and whether your enquiry is being handled. A saved message does not confirm a call or a visit.","Gönderdiğiniz mesajları ve işlem durumlarını görün. Mesajın kaydedilmesi görüşme veya ev ziyareti onayı değildir."
"texts.improvements.enquiryHelp","Du ser bare meldinger du selv har sendt. Ta kontakt hvis du vil følge opp en behandlet henvendelse.","You can only see messages you sent yourself. Contact us if you want to follow up on a handled enquiry.","Yalnızca kendi gönderdiğiniz mesajları görürsünüz. Tamamlanmış bir başvuruyu takip etmek için iletişime geçebilirsiniz."
"texts.improvements.enquiryStates.closed","Behandlet","Handled","İşlem tamamlandı"
"texts.improvements.enquiryStates.in_progress","Under arbeid","In progress","İşleniyor"
"texts.improvements.enquiryStates.new","Mottatt","Received","Alındı"
"texts.improvements.forecastCaution","Metoden velges på tidligere uker, før de to testukene. To testuker er for lite til å fastslå pålitelighet. Anslaget gjelder samtaleforespørsler, ikke hjemmebesøk.","The method is selected on earlier weeks, before the two test weeks. Two test weeks cannot establish reliability. The estimate concerns call requests, not home visits.","Yöntem, iki test haftasından önceki haftalarda seçilir. İki test haftası güvenilirliği kanıtlamaz. Tahmin ev ziyaretleri için değil, ön görüşme talepleri içindir."
"texts.improvements.forecastError","Feil i to separate testuker","Error across two separate test weeks","İki ayrı test haftasındaki hata"
"texts.improvements.forecastPeriod","Anslag for inneværende hele uke (UTC)","Estimate for the current full week (UTC)","İçinde bulunduğumuz tam hafta için tahmin (UTC)"
"texts.improvements.generalError","Vi kunne ikke hente opplysningene. Prøv å oppdatere.","We could not load the information. Please try refreshing.","Bilgiler yüklenemedi. Lütfen yenilemeyi deneyin."
"texts.improvements.languageWarning","Bytte språk? Skjemasvarene på denne siden blir ikke med.","Change language? Your form answers will not carry over.","Dili değiştirmek istiyor musunuz? Form yanıtları yeni dile taşınmaz."
"texts.improvements.missing","Mangler","Missing","Eksik"
"texts.improvements.nextNote","Samtykkede klikk fra en innholdsdel til samtale, veiviser eller kontakt. Ett klikk per mål og sidebesøk. Dette måler ikke fullførte bestillinger eller personlige behov.","Consented clicks from a content section to booking, the guide or contact. One click per destination and page visit. These are not completed bookings or predictions of personal needs.","İzin veren ziyaretçilerin içerikten görüşme, rehber veya iletişime tıklamaları. Sayfa ziyaretinde hedef başına bir kez sayılır. Tamamlanmış rezervasyonu veya kişisel ihtiyacı göstermez."
"texts.improvements.nextTitle","Neste steg fra innholdet","Next steps from the content","İçerikten sonraki adımlar"
"texts.improvements.noTime","Finner du ingen passende tid?","No suitable time?","Uygun bir saat bulamadınız mı?"
"texts.improvements.paymentReview","Betalingsforsøket må kontrolleres før du prøver igjen. Kontakt oss og oppgi bestillingsreferansen.","This payment attempt needs to be checked before you try again. Contact us with your booking reference.","Yeniden denemeden önce bu ödeme girişimi kontrol edilmeli. Rezervasyon numaranızla bize ulaşın."
"texts.improvements.rateLimit","Det kom mange forespørsler. Vent ett minutt og prøv igjen.","There were many requests. Wait one minute and try again.","Çok sayıda istek geldi. Bir dakika bekleyip yeniden deneyin."
"texts.improvements.readinessLabels.area","Tjenesteområde","Service area","Hizmet bölgesi"
"texts.improvements.readinessLabels.contact","Kontaktadresse","Contact email","İletişim e-postası"
"texts.improvements.readinessLabels.operator","Ansvarlig virksomhet","Responsible business","Sorumlu işletme"
"texts.improvements.readinessLabels.paymentEnabled","Betaling er aktivert","Payments enabled","Ödeme etkinleştirildi"
"texts.improvements.readinessLabels.paymentKeys","Stripe-nøkkel og signeringsnøkkel","Stripe key and signing secret","Stripe anahtarı ve imzalama anahtarı"
"texts.improvements.readinessLabels.review","Fullført lanseringsgjennomgang","Launch review completed","Açılış incelemesi tamamlandı"
"texts.improvements.readinessLabels.sender","E-postavsender og nøkkel","Email sender and key","E-posta göndericisi ve anahtar"
"texts.improvements.readinessLabels.service","Tjenesten er aktivert","Service enabled","Hizmet etkinleştirildi"
"texts.improvements.readinessNote","Oversikten viser konfigurasjon, ikke godkjent drift eller vellykkede leverandørtester.","This shows configuration, not operational approval or successful provider tests.","Bu liste yapılandırmayı gösterir; işletme onayı veya başarılı sağlayıcı testi anlamına gelmez."
"texts.improvements.readinessTitle","Før tjenesten kan åpne","Before the service can open","Hizmeti açmadan önce"
"texts.improvements.ready","Oppgitt","Provided","Girildi"
"texts.improvements.refresh","Oppdater","Refresh","Yenile"
"texts.improvements.requestTime","Spør om en annen tid","Ask about another time","Başka bir saat sorun"
"texts.improvements.requestTimeout","Vi fikk ikke svar i tide. En innsending kan likevel være registrert. Se Mine samtaler eller Mine henvendelser, eller prøv den samme innsendingen igjen.","We did not receive a response in time. A submission may still have been saved. Check My calls or My enquiries, or retry the same submission.","Zamanında yanıt alınamadı. Gönderiminiz yine de kaydedilmiş olabilir. Görüşmelerim veya Başvurularım bölümünü kontrol edin ya da aynı gönderimi yeniden deneyin."
"texts.improvements.submitted","Registrert","Submitted","Gönderildi"
"texts.improvements.updated","Sist oppdatert","Last updated","Son güncelleme"
"texts.intro","En å handle med. En å gå tur med. Eller tid til en god prat. Vi utvikler hverdagsstøtte for deg som vil bo hjemme og bestemme selv.","Someone to shop with. Someone to walk with. Or time for a good conversation. We are developing everyday support for older people who want to stay at home and make their own choices.","Birlikte alışveriş yapacağınız biri. Yürüyüşte bir yol arkadaşı. Ya da güzel bir sohbet. Evinde yaşamak ve kendi kararlarını vermek isteyen yaşlılar için gündelik destek geliştiriyoruz."
"texts.language","Norsk","English","Türkçe"
"texts.live","Praktisk hjelp og sosialt samvær, på dine premisser.","Practical help and companionship, on your terms.","Gündelik yardım ve sosyal destek, sizin tercihlerinizle."
"texts.loading","Henter …","Loading …","Yükleniyor …"
"texts.mailStates.blocked","Ikke tilkoblet","Not connected","Bağlantı yok"
"texts.mailStates.failed","Sending feilet","Sending failed","Gönderim başarısız"
"texts.mailStates.pending","Venter","Pending","Bekliyor"
"texts.mailStates.sent","Godtatt av e-postleverandøren","Accepted by email provider","E-posta sağlayıcısı kabul etti"
"texts.mailStates.superseded","Utdatert bekreftelse stoppet","Outdated confirmation stopped","Eski onay mesajı durduruldu"
"texts.mailStates.suppressed","Ingen sending i test","No sending in test","Testte gönderim yok"
"texts.maintenance","Slett utløpte analysedata","Delete expired analytics data","Süresi dolan analiz verilerini sil"
"texts.menu","Meny","Menu","Menü"
"texts.message","Melding","Message","Mesaj"
"texts.myBookings","Mine samtaler","My calls","Görüşmelerim"
"texts.name","Navn","Name","Ad"
"texts.nav.0","Hjelpen","Our support","Hizmetler"
"texts.nav.1","Slik fungerer det","How it works","Nasıl çalışır?"
"texts.nav.2","For pårørende","For families","Yakınlar için"
"texts.nav.3","Spørsmål","Questions","Sorular"
"texts.next","Fortsett","Continue","Devam"
"texts.noHealth","Ikke skriv helseopplysninger, fødselsnummer, BankID eller opplysninger om en annen person.","Do not include health information, identity numbers, BankID or information about another person.","Sağlık bilgisi, kimlik numarası, BankID veya başka bir kişinin bilgilerini yazmayın."
"texts.noRecords","Ingen registreringer ennå.","No records yet.","Henüz kayıt yok."
"texts.noSlots","Ingen tider er lagt ut ennå. Du kan ta kontakt eller se igjen senere.","No times have been added yet. You can contact us or check again later.","Henüz saat eklenmedi. İletişim bölümünü kullanabilir veya daha sonra tekrar bakabilirsiniz."
"texts.offer","Opprett pristilbud","Create price offer","Ücret teklifi oluştur"
"texts.ops.available","Ledig","Available","Boş"
"texts.ops.cancelled","Av disse er avbestilt","Of these, cancelled","Bunların içinde iptal edilenler"
"texts.ops.capacity","Bestilte samtaletider neste 14 dager","Booked call slots in the next 14 days","Önümüzdeki 14 günde dolu görüşme saatleri"
"texts.ops.capacityNote","Bestilte tider / alle åpne tider. Dette er samtaler, ikke kapasitet for hjemmebesøk.","Booked slots / all open slots. These are calls, not home-visit capacity.","Dolu saatler / tüm açık saatler. Bu, görüşme kapasitesidir; ev ziyareti kapasitesi değildir."
"texts.ops.changedData","Valgene dine er beholdt. Prøv på nytt.","Your choices have been kept. Please try again.","Seçimleriniz korundu. Yeniden deneyin."
"texts.ops.closeConfirm","Fjerne denne ledige tiden? Eksisterende bestillinger blir ikke endret.","Remove this available slot? Existing bookings will not change.","Bu boş saat kaldırılsın mı? Mevcut rezervasyonlar değişmeyecek."
"texts.ops.closeSlot","Fjern ledig tid","Remove available slot","Boş saati kaldır"
"texts.ops.cohort","Avbestillinger gjelder bestillinger opprettet i de siste 30 dagene, uansett når avbestillingen skjedde.","Cancellations refer to bookings created in the past 30 days, regardless of when they were cancelled.","İptal sayısı, iptalin tarihine bakılmaksızın son 30 günde oluşturulan rezervasyonları kapsar."
"texts.ops.currentStep","Steg {n} av 3","Step {n} of 3","Adım {n} / 3"
"texts.ops.empty","Ingen registrerte data i perioden.","No recorded data in this period.","Bu dönemde kayıtlı veri yok."
"texts.ops.inbox","Ubehandlede henvendelser","Enquiries awaiting completion","Tamamlanmayı bekleyen mesajlar"
"texts.ops.insightEmpty","Det er for lite tillatt analysedata til å prioritere innhold ennå.","There is too little consented analytics data to prioritise content yet.","İçerik önceliği belirlemek için henüz yeterli izinli analiz verisi yok."
"texts.ops.insightNote","Visninger og 10 sekunder i synsfeltet er signaler, ikke bevis på lesing eller forståelse. Regelen for gjennomgang er minst 20 visninger og under 30 % registrert engasjement; terskelen er et foreløpig arbeidsvalg.","Views and 10 seconds in view are signals, not proof of reading or understanding. The review rule is at least 20 views and under 30% recorded engagement; this is a provisional working threshold.","Görüntülenme ve ekranda 10 saniye kalma birer işarettir; okuma veya anlama kanıtı değildir. İnceleme kuralı en az 20 görüntülenme ve %30 altında kayıtlı etkileşimdir; bu eşik geçici bir çalışma kararıdır."
"texts.ops.insightPopular","Mest vist innhold i dette utvalget","Most viewed content in this sample","Bu örneklemde en çok görüntülenen içerik"
"texts.ops.insightReview","Kontroller om neste steg er tydelig i disse delene","Check whether the next step is clear in these sections","Bu bölümlerde sonraki adımın açık olup olmadığını inceleyin"
"texts.ops.insightTitle","Hva kan du undersøke videre?","What could you investigate next?","Bir sonraki inceleme ne olabilir?"
"texts.ops.messageStates.closed","Ferdig","Completed","Tamamlandı"
"texts.ops.messageStates.in_progress","Under arbeid","In progress","İşleniyor"
"texts.ops.messageStates.new","Ny","New","Yeni"
