no,dosya,arsiv_yolu,grup,kaynak,surum,kaynak_degistirme_tarihi,bayt,sha256,ayni_icerik_kopya_sayisi
NC-ARS-014,13_GIZLILIK-VE-GUVENLIK.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/13_GIZLILIK-VE-GUVENLIK.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3410,bc41e6f0f4e56bd6e35ed7ecb33dbdb7740c348a28c117389de0d5d94b46258a,2
NC-ARS-015,14_DIL-ICERIK-VE-SEO.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/14_DIL-ICERIK-VE-SEO.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2903,e61135f86496afafbde2749ffa253a21acda726dfc8d9d91acd599f3517bca7f,2
NC-ARS-016,15_KURULUM-YAYIN-BAKIM.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/15_KURULUM-YAYIN-BAKIM.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3670,f61e713687d6194b238cb520302b507bf5e6967bf33cbafcd95c08a54b50e47c,2
NC-ARS-017,16_TEST-VE-KALITE.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/16_TEST-VE-KALITE.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2984,ee1f9801e5f9c745f3271b94994580e829a3a639e0f8e25a52e972f836f7e7d0,2
NC-ARS-018,17_ANALIZ-VE-BASARI-OLCUMU.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/17_ANALIZ-VE-BASARI-OLCUMU.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2911,662cd3e0a39a9583798a069bf9fcf1bd6b6b924e4c622b86eb1ee3c693fee0b9,2
NC-ARS-019,18_ISLETIM-SABLONLARI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/18_ISLETIM-SABLONLARI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2969,59a6b454887723574d63e8a09feaba5268d8d3d4ba8d118bc4c4ecf148c9a6f4,2
NC-ARS-020,19_ACILIS-KARAR-VE-DEVIR.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/19_ACILIS-KARAR-VE-DEVIR.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3388,b4a0f832774ce3fcaf1e65308b14a138194c8af2fcf1792d21ca17e1d52d9990,2
NC-ARS-021,20_KAYNAKLAR-VE-KODU-KULLANMA.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/20_KAYNAKLAR-VE-KODU-KULLANMA.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3481,d1d02c51a3bb8fa2660b45a6bc196dc394497f7dcc648378894eea67f07bc0b3,2
NC-ARS-022,ICERIK-NB-EN-TR.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/ICERIK-NB-EN-TR.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,56166,bc31fc62bcd8aa3e4b9f68bc7380047f70c7435b991a8ecd16128e0eb89a3855,1
NC-ARS-023,KAYNAK-ENVANTERI.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/KAYNAK-ENVANTERI.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,6355,b34bbd45a6683e90c8a87b3de31e0af3fb2c42bd20e99f55b1cd31a9ceaf63b9,1
NC-ARS-024,KAYNAK-SURUMU.json,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/KAYNAK-SURUMU.json,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,517,8c3b92b172b55e3d3c021d6b643a2f8348dff5499a97fbb1d649a0b477b0dd4e,1
NC-ARS-025,ONCEKI-BELGELER-KAYDI.json,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/ONCEKI-BELGELER-KAYDI.json,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3047,55f9d27d9d14120e06229d3362520a6c6071629a54081939b3ce724c654735d6,1
NC-ARS-026,SAYFA-HARITASI.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/SAYFA-HARITASI.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2508,9fc395e2ec000596c6496a2d77a3773fe5490d73f78c9ab78b31e74bd6a2a46a,1
NC-ARS-027,TESLIM-DOGRULAMA.json,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/TESLIM-DOGRULAMA.json,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,809,a931acaff37a67802b10a07e9c1e34f4795317a2a80b52e4e160153b984e790d,1
NC-ARS-028,TEST-SONUCLARI.txt,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/TEST-SONUCLARI.txt,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3744,ca8ae21bd2d231540f63b612fdcdb0f166914848814a6af63ef9cc1542e339c3,1
NC-ARS-029,VERI-SOZLUGU.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/VERI-SOZLUGU.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,1878,9f8d7ca066d30628256b41de4be59c10c85088aef22472855fe59a39e5c8d50c,1
NC-ARS-030,VERITABANI-INDEKSLERI.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/VERITABANI-INDEKSLERI.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,702,1df5c94fb2cd696f74f69308dcd0a184adfb87f6cae930af8dddd90f3bc23b3a,1
NC-ARS-031,YAPI-VE-DIL-KONTROLU.json,01_GUNCEL_NAVIAR_CARE_1/BELGELER/02_DOGRULAMA/YAPI-VE-DIL-KONTROLU.json,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,268,8d7189b982156f5941eae8147e09928ada40833459f5b8568950cc92c16080d1,1
NC-ARS-032,NAVIAR-CARE-001-WEB-01_DOC-001_KONSEPT_v1.0.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-001_KONSEPT_v1.0.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,11846,03c5c891552c1bb8b9afe0dc472641b65181e3a37766a3a421004f5f2b9e1807,2
NC-ARS-033,NAVIAR-CARE-001-WEB-01_DOC-005_LOGO-SECIM_v1.0.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-005_LOGO-SECIM_v1.0.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,356977,198dc15f2ab2802acac7381654e6b6819c407d27dcfd6a8d937164b869f93d47,2
NC-ARS-034,NAVIAR-CARE-001-WEB-01_DOC-007_GELISTIRME.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-007_GELISTIRME.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,11392,c0dacdd273e1c6a99e28e12ecc29725d8e52a7d662886f54292401207eada304,2
NC-ARS-035,NAVIAR-CARE-001-WEB-01_DOC-009_PLATFORM-STUDIO.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-009_PLATFORM-STUDIO.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,15182,1e2f36613a5f94913b7b481a71326d7b636a32e8a2d423a4f287483026e849c3,2
NC-ARS-036,NAVIAR-CARE-001-WEB-01_DOC-009_STUDIO_v2.2.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-009_STUDIO_v2.2.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,17592,c6269266b0e1aa77bf7546b32764e4658dddbf1999f2ceeb0acd95a8cb259e7e,2
NC-ARS-037,NAVIAR-CARE-001-WEB-01_DOC-010_FINAL-TESLIM_v2.4.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-010_FINAL-TESLIM_v2.4.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,10286,615f96be0e9ce851c167e38f23158b89dcdfd738dfdc717aa98273cfd7fb77e5,2
NC-ARS-038,NAVIAR-CARE-001-WEB-01_DOC-010_TESLIM_v2.4.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-010_TESLIM_v2.4.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,9806,8f41b2b62f3b7fa53c01abdde8bd08bfc45b00897242ff61cfe4e0ac9fa9f953,2
NC-ARS-039,NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.docx,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.docx,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,169375,eac059236ecb791ad8f8457636bd8917a6aa186e2a0932e8a884ae972cfe201b,2
NC-ARS-040,NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,23378,45b3b61b4b926807141e6de17d0c3b4b1c336d19ed7334fdf67846562cfa24ab,2
NC-ARS-041,NAVIAR-CARE-001-WEB-01_REV-20260904-01.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/03_ONCEKI_BELGELER/NAVIAR-CARE-001-WEB-01_REV-20260904-01.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,37955,98cfffd0df27cd26c68b6e48b2d023e926589cc105800cdf4ec7b86fc3c283e4,2
NC-ARS-042,BELGE-LISTESI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/BELGE-LISTESI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2203,9203cbd43c098ce08332ed222222a61942cfaad2f00f73560a34239b41c70727,1
NC-ARS-043,NAVIAR-CARE-001-WEB-01_BELGE-LISTESI_v1.0.csv,01_GUNCEL_NAVIAR_CARE_1/BELGELER/NAVIAR-CARE-001-WEB-01_BELGE-LISTESI_v1.0.csv,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3539,f723360529b32bbb926f67abfecf275a4f5a96f20f4271ca132f61dc306922c6,2
NC-ARS-044,NAVIAR-CARE-001-WEB-01_DOC-012_TUM-BELGELER_v1.0.html,01_GUNCEL_NAVIAR_CARE_1/BELGELER/NAVIAR-CARE-001-WEB-01_DOC-012_TUM-BELGELER_v1.0.html,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,78870,17da47b71a90efa344d6f9855d15558f77bab50638d447b0a5e08db2fb90118b,2
NC-ARS-045,NAVIAR-CARE-001-WEB-01_DOC-012_TUM-BELGELER_v1.0.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/NAVIAR-CARE-001-WEB-01_DOC-012_TUM-BELGELER_v1.0.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,61748,af83d992deb5c76efa97e0519a8544c215d5ef8f7a53ca7541f1fdc77d012cec,1
NC-ARS-046,SHA256SUMS.txt,01_GUNCEL_NAVIAR_CARE_1/BELGELER/SHA256SUMS.txt,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,4947,1205b398151231fe75325980b69df00e2b434bbe6f925047b41c11f8c662f113,1
NC-ARS-047,NAVIAR-CARE-001-WEB-01_KAYNAK-KOD_v2.4.0.zip,01_GUNCEL_NAVIAR_CARE_1/KOD/NAVIAR-CARE-001-WEB-01_KAYNAK-KOD_v2.4.0.zip,NAVIAR CARE 1 — kaynak kodu,Önceki teslimin doğrulanmış kaynak kodu ZIP dosyası,2.4.0,,4508715,eb75e82a9754acd239730195d760959f2a14a6ba5c30f5ac7634265d7fd3729f,1
NC-ARS-048,00_MASTER-INDEX.md,02_PROJE_KAYITLARI/NAVIAR CARE/00_MASTER-INDEX.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/00_MASTER-INDEX.md,,2026-09-05T12:53:00.424925Z,3215,f3fc7a614cee0e01fd1b3746c111e49447c9284a0593359b6204001fa4d1a349,1
NC-ARS-049,NAVIAR-CARE-001-WEB-01_DOC-001_KONSEPT_v1.0.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-001_KONSEPT_v1.0.html,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-001_KONSEPT_v1.0.html,1,2026-09-04T23:15:41.436517Z,11846,03c5c891552c1bb8b9afe0dc472641b65181e3a37766a3a421004f5f2b9e1807,2
NC-ARS-050,NAVIAR-CARE-001-WEB-01_DOC-005_LOGO-SECIM_v1.0.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-005_LOGO-SECIM_v1.0.html,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-005_LOGO-SECIM_v1.0.html,,2026-09-04T23:25:34.448863Z,356977,198dc15f2ab2802acac7381654e6b6819c407d27dcfd6a8d937164b869f93d47,2
NC-ARS-051,NAVIAR-CARE-001-WEB-01_DOC-007_GELISTIRME.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-007_GELISTIRME.html,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-007_GELISTIRME.html,1,2026-09-05T02:55:59.251698Z,11392,c0dacdd273e1c6a99e28e12ecc29725d8e52a7d662886f54292401207eada304,2
NC-ARS-052,NAVIAR-CARE-001-WEB-01_DOC-010_TESLIM_v2.4.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-010_TESLIM_v2.4.html,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-010_TESLIM_v2.4.html,,2026-09-05T15:27:18.450280Z,9806,8f41b2b62f3b7fa53c01abdde8bd08bfc45b00897242ff61cfe4e0ac9fa9f953,2
NC-ARS-053,NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.docx,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.docx,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.docx,,2026-09-05T21:05:42.097087Z,169375,eac059236ecb791ad8f8457636bd8917a6aa186e2a0932e8a884ae972cfe201b,2
NC-ARS-054,NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_DOC-011_Konsept-ve-Web-Tasarimi_v1.0.md,,2026-09-05T21:05:42.154009Z,23378,45b3b61b4b926807141e6de17d0c3b4b1c336d19ed7334fdf67846562cfa24ab,2
NC-ARS-055,NAVIAR-CARE-001-WEB-01_REV-20260904-01.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_REV-20260904-01.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-001-WEB-01_REV-20260904-01.md,2,2026-09-04T23:15:41.427000Z,37955,98cfffd0df27cd26c68b6e48b2d023e926589cc105800cdf4ec7b86fc3c283e4,2
NC-ARS-056,NAVIAR-CARE-1-2_TEST-RAPORU_2026-09-05.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-1-2_TEST-RAPORU_2026-09-05.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE-1-2_TEST-RAPORU_2026-09-05.md,,2026-09-05T15:47:19.077509Z,3937,cd9ecc306f4511f4479681ac05955d9a2a6726a0844c4015a2014edb6514b23e,1
NC-ARS-057,NAVIAR-CARE_Icerik_NB-EN-TR.csv,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Icerik_NB-EN-TR.csv,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Icerik_NB-EN-TR.csv,2,2026-09-05T19:11:54.122821Z,46447,e1fd19fe3ef487320a06b4ee68337e629152cc3d29b4d1f0171f20c2466a60c4,1
NC-ARS-058,NAVIAR-CARE_Kurulum-ve-Kabul.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Kurulum-ve-Kabul.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Kurulum-ve-Kabul.md,,2026-09-05T03:02:19.422837Z,10227,e7feda6661553d3249104af0f4f5385a3b109401e158e23324554d2e979f111d,1
NC-ARS-059,NAVIAR-CARE_Profesyonel-Surum_Teslim.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Profesyonel-Surum_Teslim.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Profesyonel-Surum_Teslim.md,2,2026-09-05T19:11:54.021938Z,34908,f0c65eeef4534d7b8cc88e746953d39574315edd2bdd6dc327d8c5b6622c0dd0,1
NC-ARS-060,NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,Ayrı tasarım ve kaynak varyantları,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,,2026-09-05T20:23:29.435530Z,68405,a7a543999d8d0af5464e23f9a63198cc1501fd441bc3959c54c0ae3dcb70ad76,1
NC-ARS-061,NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,Ayrı tasarım ve kaynak varyantları,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,,2026-09-05T20:23:29.512592Z,61323,e9a8f68a8e154fa075c6b0c1af4d41ef869cfd28e927bc7e152d5ca8705b0f0b,1
NC-ARS-062,NAVIAR-CARE_SRC03_Tam-Konsept.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.html,Ayrı tasarım ve kaynak varyantları,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.html,,2026-09-05T19:39:10.833728Z,45066,f336f5e1c10c5746b82f6deec3b328d9eac71021cb479ff554fe2d21745c6df8,1
NC-ARS-063,NAVIAR-CARE_SRC03_Tam-Konsept.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.md,Ayrı tasarım ve kaynak varyantları,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.md,,2026-09-05T19:39:10.771220Z,33555,2d3d3a4c3072bb7eb81810f0651e72516869cb6a5f7618d99e83aa6d545cbbbb,1
NC-ARS-064,NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,1,2026-09-05T15:38:35.051817Z,24549,fb8415daf6294f802d6280d46fc1f99f60dc510f28432af601c24b4e5c99dc7a,1
NC-ARS-065,NAVIAR-MASTER-2026-001_DOC-KONSEPT-WEB-01_v1.0.html,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR-MASTER-2026-001_DOC-KONSEPT-WEB-01_v1.0.html,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR-MASTER-2026-001_DOC-KONSEPT-WEB-01_v1.0.html,,2026-09-05T19:41:40.315262Z,24995,b7f4f3a754d75fd2a838afd36a7e01353bab2283689962c0213f716bd6e33d26,1
NC-ARS-066,NAVIAR_Care_Yardimci_Kabul_Paketi_v1.docx,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/NAVIAR_Care_Yardimci_Kabul_Paketi_v1.docx,Proje belgeleri ve önceki kayıtlar,/NAVIAR CARE/01_BELGELER/NAVIAR_Care_Yardimci_Kabul_Paketi_v1.docx,,2026-08-27T20:48:57.021529Z,60398,4150e0d283a900a4501eba4447ec41408c8bd40f7d6cb5f64f65859b236d623a,1
NC-ARS-067,P-011_NAVIAR_CARE.md,02_PROJE_KAYITLARI/NAVIAR CARE/01_BELGELER/P-011_NAVIAR_CARE.md,Ayrı tasarım ve kaynak varyantları,/NAVIAR CARE/01_BELGELER/P-011_NAVIAR_CARE.md,,2026-09-04T13:18:59.682444Z,1420,053ba85cbc7be3a029954df031b9b90f2fc824565d326ece623cd17ab449f25c,1
