sensitive,"Ikke oppgi diagnose, helseopplysninger, BankID eller andre personers kontaktinformasjon.","Do not enter diagnoses, health information, BankID or anyone else’s contact details.","Tanı, sağlık bilgisi, BankID veya başka kişilerin iletişim bilgilerini yazmayın."
faqEyebrow,DET DU KANSKJE LURER PÅ,YOU MAY BE WONDERING,MERAK EDEBİLECEKLERİNİZ
faqTitle,"Klare svar, før du går videre.",Clear answers before your next step.,Sonraki adımdan önce açık yanıtlar.
faq1,Kan jeg bestille hjelp nå?,Can I book help now?,Şimdi yardım rezervasyonu yapabilir miyim?
answer1,"Nei. Dette er en utviklingsversjon. Du kan teste en forespørsel med oppdiktede opplysninger, men ingen faktisk avtale blir opprettet.","No. This is a development version. You can test a request with fictional details, but no actual appointment is created.",Hayır. Bu bir geliştirme sürümüdür. Hayali bilgilerle talep akışını deneyebilirsiniz; gerçek randevu oluşturulmaz.
faq2,Kan jeg betale for en annen?,Can I pay for someone else?,Başka biri için ödeme yapabilir miyim?
answer2,"Dette inngår i planleggingen. Betaling, rett til å bestille og rett til å få besøksinformasjon må avklares hver for seg.","This is part of the service planning. Payment, booking authority and access to visit information must each be clarified separately.","Bu, hizmet planlamasının bir parçasıdır. Ödeme, rezervasyon yetkisi ve ziyaret bilgilerine erişim ayrı ayrı netleştirilmelidir."
faq3,Kommer den samme hjelperen hver gang?,Will the same helper come every time?,Her seferinde aynı yardımcı mı gelir?
answer3,"Kontinuitet er en del av konseptet. Tilgjengelighet, fravær og en eventuell erstatter må avtales; samme person kan ikke garanteres.","Continuity is part of the concept. Availability, absence and any replacement must be agreed; the same person cannot be guaranteed.","Süreklilik konseptin parçasıdır. Müsaitlik, izin veya yokluk ve yerine gelecek kişi ayrıca kararlaştırılır; aynı kişi garanti edilemez."
faq4,Hva skjer hvis planen endres?,What happens if the plan changes?,Plan değişirse ne olur?
answer4,"Ny oppgave, tid eller pris må avklares med den som har riktig tillatelse. Avbestilling, uteblivelse, klager og refusjon skal ha tydelige vilkår før tjenesten åpner.","A new task, time or price must be agreed with the person holding the relevant permission. Cancellation, missed visits, complaints and refunds need clear terms before opening.","Yeni görev, zaman veya ücret, ilgili yetkiye sahip kişiyle kararlaştırılmalıdır. İptal, gelmeme, şikâyet ve iade koşulları hizmet açılmadan açıklanmalıdır."
footerText,Hverdagsstøtte med rom for egne valg.,Everyday support with room for your choices.,Kendi tercihlerinize yer açan günlük destek.
contact,Kontakt og forespørsel,Contact and requests,İletişim ve talep
preferences,Personvernvalg,Privacy choices,Gizlilik tercihleri
operations,Drift — begrenset tilgang,Operations — restricted access,Operasyon — sınırlı erişim
top,Til toppen,Back to top,Başa dön
footerStatus,P-011 · Utviklingsversjon · 2026,P-011 · Development version · 2026,P-011 · Geliştirme sürümü · 2026
cookieTitle,Vil du hjelpe oss å forbedre siden?,Help us improve this website?,Bu sayfayı geliştirmemize yardımcı olur musunuz?
cookieText,"Med ditt valg kan vi telle sidevisninger og aktivitet i innholdsseksjoner. Vi samler ikke inn skjemafelt, helseopplysninger eller posisjon i analysen.","With your permission, we can count page views and activity in content sections. Analytics does not collect form fields, health information or your location.","İzninizle sayfa görüntülemelerini ve içerik bölümlerindeki etkileşimi sayabiliriz. Analizde form alanları, sağlık bilgileri veya konum toplanmaz."
accept,Tillat analyse,Allow analytics,Analize izin ver
reject,Avslå analyse,Decline analytics,Analizi reddet
saved,Personvernvalget er lagret. Du kan endre det nederst på siden.,Your privacy choice is saved. You can change it in the footer.,Gizlilik tercihiniz kaydedildi. Sayfanın altından değiştirebilirsiniz.
successTitle,Testforespørselen er lagret.,Your test request is saved.,Deneme talebiniz kaydedildi.
successText,Ønsket dato er ikke en bekreftet avtale. Ingen hjelper er bestilt. E-post er ikke sendt.,The preferred date is not a confirmed appointment. No helper is booked. No email has been sent.,Tercih edilen tarih kesin randevu değildir. Yardımcı rezervasyonu yapılmadı. E-posta gönderilmedi.
reference,Referanse,Reference,Referans
duplicate,Denne forespørselen er allerede registrert. Den ble ikke opprettet på nytt.,This request is already registered. No duplicate was created.,Bu talep zaten kayıtlı. İkinci bir kayıt oluşturulmadı.
error,"Forespørselen ble ikke bekreftet. Kontroller feltene og prøv igjen. Hvis serveren ikke er tilgjengelig, blir ingen bestilling opprettet.","Your request was not confirmed. Check the fields and try again. If the server is unavailable, no booking is created.",Talebiniz doğrulanmadı. Alanları kontrol edip tekrar deneyin. Sunucuya erişilemiyorsa rezervasyon oluşturulmaz.
unavailable,Tjenestetilkoblingen er ikke aktiv i denne forhåndsvisningen. Ingen forespørsel er sendt.,The service connection is inactive in this preview. No request has been sent.,Bu önizlemede hizmet bağlantısı etkin değil. Talep gönderilmedi.
invalid_date,Velg en gyldig dato fra i morgen og innen 90 dager.,Choose a valid date from tomorrow and within 90 days.,Yarından başlayarak 90 gün içinde geçerli bir tarih seçin.
invalid_email,Oppgi en gyldig e-postadresse.,Enter a valid email address.,Geçerli bir e-posta adresi yazın.
invalid_postcode,Bruk et norsk postnummer med fire sifre.,Use a four-digit Norwegian postcode.,Dört rakamlı Norveç posta kodu kullanın.
invalid_name,Bruk et navn mellom 2 og 80 tegn.,Use a name between 2 and 80 characters.,2 ile 80 karakter arasında bir ad yazın.
consent_required,Les informasjonen og merk av før du sender.,Read the information and check the box before sending.,Göndermeden önce bilgileri okuyup kutuyu işaretleyin.
cancel,Avbryt testforespørselen,Cancel the test request,Deneme talebini iptal et
cancelled,Testforespørselen er avbrutt.,The test request is cancelled.,Deneme talebi iptal edildi.
refresh,Oppdater status,Refresh status,Durumu yenile
pay,Åpne testbetaling,Open test payment,Test ödemesini aç
paymentPending,Betaling er ikke aktiv. Et vurdert tilbud og en bekreftet avtale kreves først.,Payments are inactive. A reviewed quote and confirmed arrangement are required first.,Ödeme etkin değil. Önce değerlendirilmiş teklif ve kesinleşmiş anlaşma gerekir.
privacyTitle,Personvern i utviklingsversjonen,Privacy in this development version,Geliştirme sürümünde kişisel veriler
privacyText,"Dette er et arbeidsutkast. Bruk bare oppdiktede testopplysninger. Testforespørsler lagres på utviklingsserveren med navn, egen e-post, postnummer, ønsket støtte og dato. Administrasjonen har begrenset tilgang. Ingen data sendes til en analysetjeneste før du velger analyse. Analyse lagrer kun dag, hendelse, språk og seksjon som samlede tellere. Aktivitet er ikke bevis på at en tekst er lest eller forstått. Du kan avslå eller trekke tilbake analysevalget her; det stopper nye hendelser. Allerede aggregerte tellinger kan ikke knyttes tilbake til deg. Operatøren må kjøre sletting av gamle testforespørsler. Virksomhetsnavn, kontaktpunkt, behandlingsgrunnlag, databehandleravtaler og endelige lagringstider må bekreftes før lansering.","This is a working draft. Use fictional test details only. Test requests store your name, own email, postcode, selected support and date on the development server. Administration access is restricted. No analytics events are sent before you allow analytics. Analytics stores only day, event, language and section as aggregate counters. Activity does not prove content was read or understood. You may decline or withdraw analytics here; this stops new events. Existing aggregate counts cannot be linked back to you. The operator must run deletion of old test requests. Legal entity, contact point, legal basis, processor agreements and final retention periods must be confirmed before launch.","Bu bir çalışma taslağıdır. Yalnızca hayali test bilgileri kullanın. Deneme talepleri; ad, kendi e-posta adresiniz, posta kodu, destek seçimi ve tarihle geliştirme sunucusuna kaydedilir. Yönetim erişimi sınırlıdır. İzin vermeden analiz olayı gönderilmez. Analizde yalnızca gün, olay, dil ve bölüm toplu sayaç olarak saklanır. Etkileşim, metnin okunduğunu veya anlaşıldığını kanıtlamaz. Analizi buradan reddedebilir veya izni geri alabilirsiniz; yeni olaylar durur. Önceden toplanmış sayaçlar sizinle eşleştirilemez. Eski test taleplerinin silinmesini operatör çalıştırmalıdır. Şirket kimliği, iletişim noktası, işleme dayanağı, veri işleyen sözleşmeleri ve kesin saklama süreleri açılıştan önce doğrulanmalıdır."
termsTitle,Vilkår for denne testversjonen,Terms for this test version,Bu test sürümünün koşulları
termsText,"Siden viser et konsept under utvikling. En testforespørsel er ikke en bindende avtale eller en reservasjon av hjelp. Ingen faktisk tjeneste eller tilgjengelighet loves. Priser, avgiftsbehandling, tjenesteområde, forsikring, klagekanal, avbestilling og refusjonsvilkår må godkjennes før reell bestilling åpnes.","This website shows a concept in development. A test request is not a binding agreement or reservation of help. No real service or availability is promised. Prices, tax treatment, service areas, insurance, complaint channels, cancellation and refund terms need approval before real bookings open.","Sayfa geliştirilmekte olan bir konsepti gösterir. Deneme talebi bağlayıcı anlaşma veya yardım rezervasyonu değildir. Gerçek hizmet ya da müsaitlik vaat edilmez. Fiyatlar, vergi uygulaması, hizmet bölgeleri, sigorta, şikâyet kanalı, iptal ve iade koşulları gerçek rezervasyon açılmadan onaylanmalıdır."
reviewTitle,Se over testforespørselen,Review your test request,Deneme talebini gözden geçirin
reviewIntro,Dette er opplysningene du vil sende. Ønsket dato er ikke en bekreftet avtale.,These are the details you are about to send. Your preferred date is not a confirmed appointment.,Göndereceğiniz bilgiler aşağıda. Tercih ettiğiniz tarih kesinleşmiş randevu değildir.
reviewButton,Se over før du sender,Review before sending,Göndermeden önce gözden geçir
edit,Endre opplysninger,Edit details,Bilgileri düzenle
languageLabel,Velg språk,Choose language,Dil seçin
demoTitle,Interaktiv demo · Ingen opplysninger sendes,Interactive demo · No details are sent,Etkileşimli demo · Hiçbir bilgi gönderilmez
demoText,Prøv med eksempeldata. Eksempeldata og valg slettes når du bytter språk eller laster siden på nytt.,Try the sample details. Sample details and choices are cleared when you change language or reload the page.,Örnek bilgilerle deneyin. Dil değiştirdiğinizde veya sayfayı yenilediğinizde örnek bilgiler ve tercihler silinir.
sample,Fyll inn eksempeldata,Fill in sample details,Örnek bilgileri doldur
fail,Prøv en tilkoblingsfeil,Try a connection error,Bağlantı hatasını dene
sampleReady,Eksempeldata er fylt inn. Se over opplysningene nedenfor.,Sample details are filled in. Review the details below.,Örnek bilgiler dolduruldu. Aşağıdaki bilgileri gözden geçirin.
failureReady,Neste innsending viser en tilkoblingsfeil. Du kan deretter prøve igjen.,Your next submission will show a connection error. You can then try again.,Sonraki gönderimde bağlantı hatası görünecek. Ardından yeniden deneyebilirsiniz.
demoSuccess,Testforespørselen vises i demoen.,Your test request appears in the demo.,Deneme talebi demoda gösteriliyor.
demoSuccessText,"Bare en demonstrasjon i nettleseren. Ingen forespørsel er sendt eller lagret på en server. Ingen e-post, betaling eller avtale er opprettet.","A browser demonstration only. No request was sent or stored on a server. No email, payment or appointment was created.","Yalnızca tarayıcı içinde bir gösterimdir. Talep gönderilmedi veya sunucuya kaydedilmedi. E-posta, ödeme ya da randevu oluşturulmadı."
demoPrivacy,"Denne selvstendige demonstrasjonen sender ingen skjema- eller analysedata. Opplysninger og valg brukes bare i minnet mens siden er åpen, og forsvinner når den lastes på nytt. Bruk oppdiktede opplysninger.",This standalone demonstration sends no form or analytics data. Details and choices stay in memory while the page is open and disappear when it reloads. Use fictional details.,"Bu bağımsız demo, form veya analiz verisi göndermez. Bilgiler ve tercihler sayfa açıkken bellekte tutulur; sayfa yenilendiğinde silinir. Hayali bilgiler kullanın."
demoChoiceTitle,Prøv personvernvalgene,Try the privacy choices,Gizlilik tercihlerini deneyin
demoChoiceText,Dette er en demonstrasjon. Valget gjelder bare her; ingen analysedata samles inn eller sendes.,This is a demonstration. Your choice applies here only; no analytics data is collected or sent.,Bu bir demodur. Seçiminiz yalnızca burada geçerlidir; analiz verisi toplanmaz veya gönderilmez.
demoSaved,Demovalget er endret. Ingen analyse sendes.,Your demo choice has changed. No analytics is sent.,Demo tercihiniz değiştirildi. Analiz verisi gönderilmez.
summary,Opplysninger,Details,Bilgiler
dateZone,Datoen følger norsk tid (Europe/Oslo).,The date uses Norwegian time (Europe/Oslo).,Tarih Norveç saatine göredir (Europe/Oslo).
required,Alle feltene er obligatoriske.,All fields are required.,Tüm alanlar zorunludur.
