"key","nb","en","tr"
"copyright","Prøveversjon. Ingen hjelper sendes ut.","Review version. No helper is dispatched.","İnceleme sürümü. Gerçek yardımcı gönderilmez."
"bookingTitle","Hva trenger du hjelp til?","What do you need help with?","Ne konuda yardıma ihtiyacınız var?"
"bookingIntro","Send en forespørsel. Det er ikke en bekreftet avtale, og du betaler ikke nå.","Send a request. It is not a confirmed appointment, and you do not pay now.","Talep gönderin. Bu, kesinleşmiş bir randevu değildir; şu anda ödeme yapmazsınız."
"step","Steg","Step","Adım"
"next","Fortsett","Continue","Devam et"
"back","Tilbake","Back","Geri"
"send","Lagre testforespørsel","Save test request","Test talebini kaydet"
"saving","Lagrer …","Saving…","Kaydediliyor…"
"serviceStep","Velg hjelp","Choose help","Destek seçin"
"timeStep","Velg tid","Choose a time","Zaman seçin"
"personStep","Hvem får hjelp?","Who is it for?","Kim yardım alacak?"
"reviewStep","Se over","Review","Kontrol edin"
"when","Når passer det?","When would suit you?","Ne zaman uygun?"
"scheduled","En bestemt dag","A particular day","Belirli bir gün"
"today","I dag","Today","Bugün"
"recurring","Fast hver uke","Every week","Her hafta"
"date","Ønsket dato","Preferred date","Tercih edilen tarih"
"time","Ønsket klokkeslett","Preferred time","Tercih edilen saat"
"duration","Varighet","Duration","Süre"
"minutes","minutter","minutes","dakika"
"timezone","Alle tider er i lokal tid for Oslo.","All times use Oslo local time.","Tüm saatler Oslo yerel saatidir."
"timeNote","Tidspunktet er et ønske. Ledighet og pris må bekreftes. Hvert besøk i en fast avtale må avklares.","This is a preferred time. Availability and price must be confirmed. Recurring visits must each be agreed.","Bu saat bir tercihtir. Müsaitlik ve fiyatın onaylanması gerekir. Düzenli ziyaretlerin her biri ayrıca kararlaştırılır."
"self","Til meg selv","For myself","Kendim için"
"someone","Til en annen","For someone else","Başka biri için"
"recipientRule","Den andre personen må selv godkjenne besøket. Du kan ikke gi samtykke til innsyn bare fordi du betaler.","The other person must approve the visit themselves. Paying does not let you consent to information sharing for them.","Diğer kişi ziyareti kendisi onaylamalıdır. Ödeme yapmanız, onun adına bilgi paylaşım izni verebileceğiniz anlamına gelmez."
"postcode","Postnummer i Norge","Norwegian postcode","Norveç posta kodu"
"postcodeHint","Fire sifre. Full adresse trengs ikke nå.","Four digits. No full address is needed now.","Dört hane. Şu anda açık adres gerekmiyor."
"name","Ditt testnavn","Your test name","Test adınız"
"accountEmail","Kvitteringen knyttes til kontoen du er logget inn med.","The receipt belongs to the account you are signed in with.","Alındı bilgisi, giriş yaptığınız hesaba bağlanır."
"notesAvoid","Ikke skriv diagnose, BankID, kortnummer eller andre private opplysninger.","Do not enter diagnoses, identity credentials, card details or other private information.","Tanı, kimlik doğrulama şifresi, kart numarası veya başka özel bilgiler yazmayın."
"selfConsent","Jeg ønsker dette besøket.","I would like this visit.","Bu ziyareti istiyorum."
"sharing","Hva kan familien se?","What can family see?","Aile hangi bilgileri görebilir?"
"sharingNote","Bare den som får hjelp, velger deling. Ingen får tilgang før en bestemt mottaker er godkjent.","Only the person receiving help chooses sharing. Nobody gets access until a specific recipient is approved.","Paylaşımı yalnızca yardım alan kişi seçer. Belirli bir kişi onaylanana kadar kimseye erişim verilmez."
"none","Ingenting","Nothing","Hiçbir bilgi"
"done","Bare at besøket er ferdig","Only that the visit is complete","Yalnızca ziyaretin tamamlandığı"
"progress","Status underveis","Visit progress","Ziyaretin durumu"
"overview","Tidligere og kommende besøk","Past and upcoming visits","Geçmiş ve gelecek ziyaretler"
"price","Totalpris","Total price","Toplam fiyat"
"pricePending","Avklares før du godkjenner avtalen","Agreed before you approve the visit","Ziyareti onaylamadan önce netleşecek"
"dueNow","Å betale nå","Due now","Şimdi ödenecek"
"acceptTest","Jeg forstår at dette er en test, og bruker ikke ekte personopplysninger.","I understand this is a test and will not use real personal details.","Bunun bir test olduğunu anlıyorum ve gerçek kişisel bilgiler kullanmıyorum."
"savedTitle","Testforespørselen er lagret","Your test request is saved","Test talebiniz kaydedildi"
"savedBody","Ingen avtale er bekreftet. Forespørselen ligger i oversikten din.","No appointment is confirmed. The request is in your overview.","Henüz randevu kesinleşmedi. Talebiniz hesap özetinizde."
"reference","Referanse","Reference","Referans"
"viewRequests","Se mine forespørsler","View my requests","Taleplerimi gör"
"error","Dette kunne ikke fullføres. Opplysningene står fortsatt i skjemaet. Prøv igjen.","This could not be completed. Your details are still in the form. Please try again.","İşlem tamamlanamadı. Bilgileriniz formda duruyor. Yeniden deneyin."
"validation","Fyll ut de nødvendige feltene og velg en fremtidig tid.","Complete the required fields and choose a future time.","Gerekli alanları doldurun ve gelecekte bir saat seçin."
"signin","Logg inn for å lagre","Sign in to save","Kaydetmek için giriş yap"
"signinBody","Prøveversjonen bruker ChatGPT-innlogging. Forespørsler vises bare til kontoen som opprettet dem og autorisert drift.","This review version uses ChatGPT sign-in. Requests are visible only to their creator and authorised operations staff.","Bu inceleme sürümü ChatGPT ile giriş kullanır. Talepleri yalnızca oluşturan hesap ve yetkili operasyon sorumlusu görebilir."
"loading","Henter …","Loading…","Yükleniyor…"
"empty","Du har ingen forespørsler ennå.","You have no requests yet.","Henüz talebiniz yok."
"refresh","Oppdater","Refresh","Yenile"
"cancel","Avbestill","Cancel request","Talebi iptal et"
"changeTime","Endre tidspunkt","Change time","Zamanı değiştir"
"changed","Endringen er lagret. Ny tid må avklares.","Change saved. The new time must be agreed.","Değişiklik kaydedildi. Yeni saat ayrıca onaylanmalı."
"requested","Venter på avklaring","Awaiting review","Değerlendirme bekliyor"
"consent_pending","Venter på mottakerens samtykke","Awaiting recipient consent","Yardım alan kişinin onayını bekliyor"
"quoted","Pristilbud klart","Quote ready","Fiyat teklifi hazır"
"confirmed","Testtilbud godkjent","Test quote approved","Test teklifi onaylandı"
"cancelled","Avbestilt","Cancelled","İptal edildi"
"completed","Fullført","Completed","Tamamlandı"
"disputed","Til manuell gjennomgang","Under manual review","İnceleniyor"
"paid","Testbetaling bekreftet","Test payment confirmed","Test ödemesi doğrulandı"
"unpaid","Ikke betalt","Unpaid","Ödenmedi"
"confirmQuote","Godkjenn testtilbud","Approve test quote","Test teklifini onayla"
"checkout","Åpne sikker testbetaling","Open secure test checkout","Güvenli test ödemesine geç"
"checkoutUnavailable","Betaling er ikke aktivert. Du er ikke belastet.","Payments are not enabled. You have not been charged.","Ödeme etkin değil. Sizden ücret alınmadı."
"emailDisabled","E-post er ikke aktivert. Bekreftelsen ligger her.","Email is not enabled. Your confirmation is available here.","E-posta etkin değil. Alındı bilginiz burada."
"report","Meld et problem","Report a problem","Sorun bildir"
"no_show","Hjelperen kom ikke","Helper did not arrive","Yardımcı gelmedi"
"door_unanswered","Ingen åpnet døren","Nobody answered the door","Kapı açılmadı"
"extra_work","Det ble bedt om mer arbeid","Extra work was requested","Ek iş istendi"
"payment_dispute","Uenig i betalingen","Payment disagreement","Ödeme konusunda anlaşmazlık"
"reportSaved","Saken er registrert. I denne testen er ingen vakt varslet.","The case is recorded. In this test, no on-call team has been notified.","Kayıt oluşturuldu. Bu testte nöbetçi ekibe bildirim gönderilmez."
"emergency","I Norge: ring 113 ved fare for liv eller alvorlig sykdom, 110 ved brann og 112 ved akutt fare. Dette er ikke en nødtjeneste.","In Norway: call 113 for danger to life or serious illness, 110 for fire and 112 for immediate danger. This is not an emergency service.","Norveç’te hayati tehlike veya ciddi hastalık için 113, yangın için 110, acil tehlike için 112’yi arayın. Bu, acil yardım hizmeti değildir."
"safetyTitle","Du skal vite hvem som kommer.","Know who is coming.","Kimin geleceğini bilin."
"safetyIntro","Identitet, pålitelighet og kompetanse må kontrolleres hver for seg. Ingen stjerne eller poengsum kan erstatte dette.","Identity, reliability and skills must be checked separately. No star rating or score can replace these checks.","Kimlik, güvenilirlik ve yetkinlik ayrı ayrı değerlendirilmelidir. Yıldız puanı bu kontrollerin yerini tutmaz."
"identity","Identitet","Identity","Kimlik"
"identityBody","SMS bekrefter tilgang til et telefonnummer. Identiteten må kontrolleres i en egen prosess.","SMS confirms access to a phone number. Identity needs a separate verification process.","SMS, bir telefon numarasına erişimi doğrular. Kimlik için ayrı bir doğrulama süreci gerekir."
"reliability","Pålitelighet","Reliability","Güvenilirlik"
"reliabilityBody","Referanser og tidligere oppdrag kan gi informasjon. Ti oppdrag uten avvik er ingen garanti for trygghet.","References and previous visits provide information. Ten visits without a reported problem are not a safety guarantee.","Referanslar ve önceki işler bilgi sağlar. On sorunsuz iş, güvenlik garantisi değildir."
"competence","Kompetanse for oppgaven","Skills for the task","İşe uygun yetkinlik"
"competenceBody","Kurs, erfaring og konkrete ferdigheter vurderes for hver oppdragstype. Medisinsk arbeid inngår ikke.","Training, experience and specific skills are assessed for each task type. Medical work is excluded.","Eğitim, deneyim ve beceriler her iş türü için değerlendirilir. Tıbbi işlemler kapsam dışıdır."
"beforeLaunch","Før vi sender ut hjelpere","Before helpers can visit","Yardımcılar göreve başlamadan önce"
"beforeLaunchBody","ID-kontroll, referanser, opplæring, forsikring og bemannet støtte må være på plass. Dette er ikke bekreftet i prøveversjonen.","Identity checks, references, training, insurance and staffed support must be in place. These are not verified in this review version.","Kimlik ve referans kontrolleri, eğitim, sigorta ve görevli destek ekibi hazır olmalıdır. Bunlar inceleme sürümünde doğrulanmış değildir."
